127,147,2021-12-30 02:23:00,46,,9
128,146,2021-12-30 02:25:00,46,,9
129,141,2021-12-30 02:25:00,48,,8
130,142,2021-12-30 02:28:00,48,,8
131,145,2021-12-30 02:28:00,46,,9
132,143,2021-12-30 02:29:00,48,,8
133,161,2021-12-30 02:33:00,48,,10
134,190,2021-12-30 02:33:00,45,,11
135,162,2021-12-30 02:35:00,48,,10
136,189,2021-12-30 02:34:00,45,,11
137,188,2021-12-30 02:37:00,45,,11
138,163,2021-12-30 02:36:00,48,,10
139,164,2021-12-30 02:39:00,48,,10
140,187,2021-12-30 02:39:00,45,,11
141,165,2021-12-30 02:40:00,48,,10
142,186,2021-12-30 02:40:00,45,,11
143,166,2021-12-30 02:42:00,48,,10
144,185,2021-12-30 02:43:00,45,,11
145,167,2021-12-30 02:44:00,48,,10
146,184,2021-12-30 02:44:00,45,,11
147,168,2021-12-30 02:45:00,48,,10
148,183,2021-12-30 02:46:00,45,,11
149,169,2021-12-30 02:48:00,48,,10
150,182,2021-12-30 02:48:00,45,,11
151,170,2021-12-30 02:49:00,48,,10
152,181,2021-12-30 02:49:00,45,,11
153,171,2021-12-30 02:51:00,48,,10
154,180,2021-12-30 02:52:00,45,,11
155,172,2021-12-30 02:54:00,48,,10
156,179,2021-12-30 02:53:00,45,,11
157,178,2021-12-30 02:55:00,45,,11
158,173,2021-12-30 02:55:00,48,,10
159,174,2021-12-30 02:58:00,48,,10
160,177,2021-12-30 02:58:00,45,,11
161,175,2021-12-30 02:59:00,48,,10
162,193,2021-12-30 03:03:00,48,,12
163,222,2021-12-30 03:03:00,44,,13
164,194,2021-12-30 03:05:00,48,,12
165,221,2021-12-30 03:04:00,44,,13
166,220,2021-12-30 03:07:00,44,,13
167,195,2021-12-30 03:06:00,48,,12
168,196,2021-12-30 03:09:00,48,,12
169,219,2021-12-30 03:09:00,44,,13
170,197,2021-12-30 03:10:00,48,,12
171,218,2021-12-30 03:10:00,44,,13
172,198,2021-12-30 03:12:00,48,,12
173,217,2021-12-30 03:13:00,44,,13
174,199,2021-12-30 03:14:00,48,,12
175,216,2021-12-30 03:14:00,44,,13
176,200,2021-12-30 03:15:00,48,,12
177,215,2021-12-30 03:16:00,44,,13
178,201,2021-12-30 03:18:00,48,,12
179,214,2021-12-30 03:18:00,44,,13
180,202,2021-12-30 03:19:00,48,,12
181,213,2021-12-30 03:19:00,44,,13
182,203,2021-12-30 03:21:00,48,,12
183,212,2021-12-30 03:22:00,44,,13
184,204,2021-12-30 03:24:00,48,,12
185,211,2021-12-30 03:23:00,44,,13
186,210,2021-12-30 03:25:00,44,,13
187,205,2021-12-30 03:25:00,48,,12
188,206,2021-12-30 03:28:00,48,,12
189,209,2021-12-30 03:28:00,44,,13
190,207,2021-12-30 03:29:00,48,,12
191,225,2021-12-30 03:33:00,48,,14
192,254,2021-12-30 03:33:00,43,,15
193,226,2021-12-30 03:35:00,48,,14
194,253,2021-12-30 03:34:00,43,,15
195,252,2021-12-30 03:37:00,43,,15
196,227,2021-12-30 03:36:00,48,,14
197,228,2021-12-30 03:39:00,48,,14
198,251,2021-12-30 03:39:00,43,,15
199,229,2021-12-30 03:40:00,48,,14
200,250,2021-12-30 03:40:00,43,,15
201,230,2021-12-30 03:42:00,48,,14
202,249,2021-12-30 03:43:00,43,,15
203,231,2021-12-30 03:44:00,48,,14
204,248,2021-12-30 03:44:00,43,,15
205,232,2021-12-30 03:45:00,48,,14
206,247,2021-12-30 03:46:00,43,,15
207,233,2021-12-30 03:48:00,48,,14
208,246,2021-12-30 03:48:00,43,,15
209,234,2021-12-30 03:49:00,48,,14
210,245,2021-12-30 03:49:00,43,,15
211,235,2021-12-30 03:51:00,48,,14
212,244,2021-12-30 03:52:00,43,,15
213,236,2021-12-30 03:54:00,48,,14
214,243,2021-12-30 03:53:00,43,,15
215,242,2021-12-30 03:55:00,43,,15
216,237,2021-12-30 03:55:00,48,,14
217,238,2021-12-30 03:58:00,48,,14
218,241,2021-12-30 03:58:00,43,,15
219,239,2021-12-30 03:59:00,48,,14
220,257,2021-12-30 04:03:00,48,,16
221,286,2021-12-30 04:03:00,42,,17
222,258,2021-12-30 04:05:00,48,,16
223,285,2021-12-30 04:04:00,42,,17
224,284,2021-12-30 04:07:00,42,,17
225,259,2021-12-30 04:06:00,48,,16
226,260,2021-12-30 04:09:00,48,,16
227,283,2021-12-30 04:09:00,42,,17
228,261,2021-12-30 04:10:00,48,,16
229,282,2021-12-30 04:10:00,42,,17
230,262,2021-12-30 04:12:00,48,,16
231,281,2021-12-30 04:13:00,42,,17
232,263,2021-12-30 04:14:00,48,,16
233,280,2021-12-30 04:14:00,42,,17
234,264,2021-12-30 04:15:00,48,,16
235,279,2021-12-30 04:16:00,42,,17
236,265,2021-12-30 04:18:00,48,,16
237,278,2021-12-30 04:18:00,42,,17
238,266,2021-12-30 04:19:00,48,,16
239,277,2021-12-30 04:19:00,42,,17
240,267,2021-12-30 04:21:00,48,,16
241,276,2021-12-30 04:22:00,42,,17
242,268,2021-12-30 04:24:00,48,,16
243,275,2021-12-30 04:23:00,42,,17
244,274,2021-12-30 04:25:00,42,,17
245,269,2021-12-30 04:25:00,48,,16
246,270,2021-12-30 04:28:00,48,,16
247,273,2021-12-30 04:28:00,42,,17
248,271,2021-12-30 04:30:00,48,50,16
249,289,2021-12-30 04:33:00,48,,18
250,318,2021-12-30 04:33:00,41,,19
251,290,2021-12-30 04:35:00,48,,18
